be great if I owned,aspirational
be great if I had,aspirational
wish to buy,aspirational
wish to own,aspirational
love to have,aspirational
love to buy,aspirational
If I had the money,aspirational
dream is to buy,aspirational
dream is to purchase,aspirational
dream is to own,aspirational
had all the money in the world,aspirational
is my dream,aspirational
want to get,aspirational
want to drive,aspirational
love to get,aspirational
love to drive,aspirational
wish to get,aspirational
wish to drive,aspirational
be great to get,aspirational
be great to drive,aspirational
